PROYECTO_ID,CONVOCATORIA_ID,ANO_CONVOCATORIA,DESC_CONVOCATORIA,CODIGO_PROYECTO,TITULO_PROYECTO,FECHA_REGISTRO,FECHA_APROBACION,ENTIDAD_EJECUTA,TIPO_FINANCIACION,DESC_FINANCIACION,COD_PROG_CTI,NME_PROG_CTI,COD_AREA_TEMATICA,AREA_TEMATICA,COD_AREA_CIENCIA,NME_AREA_CIENCIA,ESTADO_PROYECTO,COD_DANE_CIUDAD_ENTIDAD,NME_CIUDAD_ENTIDAD,COD_DANE_DEPTO_ENTIDAD,NME_DEPTO_ENTIDAD,COD_DANE_CIUDAD_PRY,NME_CIUDAD_PRY,COD_DANE_DEPTO_PRY,NME_DEPTO_PRY,TPO_PROYECTO,NME_TIPO_PROYECTO,MONTO_FINANCIADO_AP,MONTO_CONTRAPARTIDA_AP,MONTO_TOTAL_AP
58287,11340,2017,777-2017 CONVOCATORIA PARA PROYECTOS DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD 2017,110677758287,FACTORES DE RIESGO Y EXPLORACION GENETICA EN SUICIDIO EN LOS DEPARTAMENTOS DEL EJE CAFETERO Y NORTE/CENTRO DEL VALLE DEL CAUCA,2017-05-31,2017-10-10,UNIVERSIDAD DEL VALLE,RC,RECUPERACION CONTINGENTE,154,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD,11398,SALUD MENTAL Y CONSTRUCCION DE PAZ,X,No disponible,APROBADO,76001,CALI,76,VALLE DEL CAUCA,76001,CALI,76,VALLE DEL CAUCA,P,Proyecto,334890746,201067707,535958453
57610,11340,2017,777-2017 CONVOCATORIA PARA PROYECTOS DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD 2017,110677757610,Hormonas tiroideas en la gestante obesa y su uso como biomarcadores de salud materno fetal,2017-05-16,2017-10-10,UNIVERSIDAD DEL VALLE,RC,RECUPERACION CONTINGENTE,154,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD,11396,SALUD MATERNA Y PERINATAL,X,No disponible,APROBADO,76001,CALI,76,VALLE DEL CAUCA,76001,CALI,76,VALLE DEL CAUCA,P,Proyecto,299999627,282575814,582575441
57782,11340,2017,777-2017 CONVOCATORIA PARA PROYECTOS DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD 2017,110677757782,DESARROLLO DE UNA PLATAFORMA DIGITAL DE MONITOREO PARA LA PROMOCION EN SALUD Y PREVENCION DE ENFERMEDADES CARDIOVASCULARES FASE II,2017-05-21,2017-10-10,UNIVERSIDAD DEL VALLE,RC,RECUPERACION CONTINGENTE,154,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD,11667,SISTEMAS Y SERVICIOS DE ATENCION EN SALUD.,X,No disponible,APROBADO,76001,CALI,76,VALLE DEL CAUCA,76001,CALI,76,VALLE DEL CAUCA,P,Proyecto,198752714,117660000,316412714
58446,11340,2017,777-2017 CONVOCATORIA PARA PROYECTOS DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD 2017,656677758446,Descripcion de las reacciones de rechazo mediado por anticuerpos donante especificos en trasplante,2017-06-03,2017-10-10,FUNDACION CARDIOVASCULAR DE COLOMBIA,RC,RECUPERACION CONTINGENTE,154,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD,11664,CONDICIONES CRONICAS NO TRANSMISIBLES.,X,No disponible,APROBADO,68276,FLORIDABLANCA,68,SANTANDER,68547,PIEDECUESTA,68,SANTANDER,P,Proyecto,400000000,491773244,891773244
57697,11340,2017,777-2017 CONVOCATORIA PARA PROYECTOS DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD 2017,651777757697,Terapia celular mas efectiva para la isquemia critica de miembros inferiores en pacientes diabeticos estudio piloto comparativo entre celulas mononucleares y celulas madre mesenquimales derivadas de medula osea.,2017-05-18,2017-10-10,FUNDACION OFTALMOLOGICA DE SANTANDER,RC,RECUPERACION CONTINGENTE,154,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD,11664,CONDICIONES CRONICAS NO TRANSMISIBLES.,X,No disponible,APROBADO,68276,FLORIDABLANCA,68,SANTANDER,68276,FLORIDABLANCA,68,SANTANDER,P,Proyecto,376086705,368000349,744087054
58228,11340,2017,777-2017 CONVOCATORIA PARA PROYECTOS DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD 2017,651777758228,IMPACTO DE LA TRANSICION EPIDEMIOLOGICA EN LOS FACTORES DE RIESGO Y DESENLACES CARDIOVASCULARES EN LA ULTIMA DECADA ESTUDIO PURE COLOMBIA,2017-05-30,2018-03-12,FUNDACION OFTALMOLOGICA DE SANTANDER,RC,RECUPERACION CONTINGENTE,154,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD,11664,CONDICIONES CRONICAS NO TRANSMISIBLES.,X,No disponible,APROBADO,68276,FLORIDABLANCA,68,SANTANDER,68276,FLORIDABLANCA,68,SANTANDER,P,Proyecto,390945145,629650121,1020595266
57864,11340,2017,777-2017 CONVOCATORIA PARA PROYECTOS DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD 2017,656677757864,Emprendimiento para la validacion sensorial funcional y de estabilidad de un prototipo de producto alimentario innovador para mejorar la funcion muscular respiratoria y periferica en humanos,2017-05-23,2018-03-12,FUNDACION CARDIOVASCULAR DE COLOMBIA,RC,RECUPERACION CONTINGENTE,154,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD,11664,CONDICIONES CRONICAS NO TRANSMISIBLES.,X,No disponible,APROBADO,68276,FLORIDABLANCA,68,SANTANDER,68276,FLORIDABLANCA,68,SANTANDER,P,Proyecto,371530473,283872277,655402750
58411,11340,2017,777-2017 CONVOCATORIA PARA PROYECTOS DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD 2017,656677758411,Imagenologia de Infecciones de Enterobacterias In Vivo con Tomografia de Emision de Positrones y 18F-Fluorodeoxisorbitol,2017-06-02,2017-10-10,FUNDACION CARDIOVASCULAR DE COLOMBIA,RC,RECUPERACION CONTINGENTE,154,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD,11665,CONDICIONES TRANSMISIBLES E INFECCIOSAS.,X,No disponible,APROBADO,68276,FLORIDABLANCA,68,SANTANDER,68547,PIEDECUESTA,68,SANTANDER,P,Proyecto,400000000,699716530,1099716530
58319,11340,2017,777-2017 CONVOCATORIA PARA PROYECTOS DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD 2017,656677758319,ENSAYO CLINICO MULTICENTRICO CONTROLADO ALEATORIZADO PARA EVALUAR LA EFICACIA Y SEGURIDAD DEL NUEVO DISPOSITIVO DE INVENCION DYNATRAQ PARA PREVENIR LAS COMPLICACIONES ASOCIADAS A LAS CANULAS DE TRAQUEOSTOMIA EN PACIENTES VENTILADOS MECANICAMENTE ESTUDIO DYNAtraq-2,2017-06-01,2018-03-12,FUNDACION CARDIOVASCULAR DE COLOMBIA,RC,RECUPERACION CONTINGENTE,154,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD,11665,CONDICIONES TRANSMISIBLES E INFECCIOSAS.,X,No disponible,APROBADO,68276,FLORIDABLANCA,68,SANTANDER,68276,FLORIDABLANCA,68,SANTANDER,P,Proyecto,511828817,1093030429,1604859246
58044,11340,2017,777-2017 CONVOCATORIA PARA PROYECTOS DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD 2017,656677758044,Programa de monitoreo y educacion para el seguimiento en casa de ninos con cardiopatias congenitas complejas.,2017-05-26,2017-10-10,FUNDACION CARDIOVASCULAR DE COLOMBIA,RC,RECUPERACION CONTINGENTE,154,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD,11667,SISTEMAS Y SERVICIOS DE ATENCION EN SALUD.,X,No disponible,APROBADO,68276,FLORIDABLANCA,68,SANTANDER,68276,FLORIDABLANCA,68,SANTANDER,P,Proyecto,538739578,626174123,1163313701
