NME_AREA_CIENCIA,MONTO_FINANCIADO_AP,AREA_TEMATICA
No disponible,334890746,SALUD MENTAL Y CONSTRUCCION DE PAZ
No disponible,299999627,SALUD MATERNA Y PERINATAL
No disponible,198752714,SISTEMAS Y SERVICIOS DE ATENCION EN SALUD.
No disponible,400000000,CONDICIONES CRONICAS NO TRANSMISIBLES.
No disponible,376086705,CONDICIONES CRONICAS NO TRANSMISIBLES.
No disponible,390945145,CONDICIONES CRONICAS NO TRANSMISIBLES.
No disponible,371530473,CONDICIONES CRONICAS NO TRANSMISIBLES.
No disponible,400000000,CONDICIONES TRANSMISIBLES E INFECCIOSAS.
No disponible,511828817,CONDICIONES TRANSMISIBLES E INFECCIOSAS.
No disponible,538739578,SISTEMAS Y SERVICIOS DE ATENCION EN SALUD.
No disponible,341326321,SALUD AMBIENTAL
No disponible,399603826,SALUD AMBIENTAL
No disponible,299832697,SALUD AMBIENTAL
No disponible,377713152,SALUD MATERNA Y PERINATAL
No disponible,396791720,CONDICIONES CRONICAS NO TRANSMISIBLES.
No disponible,390007041,CONDICIONES CRONICAS NO TRANSMISIBLES.
No disponible,399223187,CONDICIONES TRANSMISIBLES E INFECCIOSAS.
No disponible,299991620,CONDICIONES TRANSMISIBLES E INFECCIOSAS.
No disponible,200822481,TOXINOLOGIA CLINICA Y NUEVOS MEDICAMENTOS.
No disponible,382237852,TOXINOLOGIA CLINICA Y NUEVOS MEDICAMENTOS.
No disponible,299383788,TOXINOLOGIA CLINICA Y NUEVOS MEDICAMENTOS.
No disponible,377921111,SISTEMAS Y SERVICIOS DE ATENCION EN SALUD.
No disponible,300084965,CONDICIONES TRANSMISIBLES E INFECCIOSAS.
No disponible,356047461,SALUD MENTAL Y CONSTRUCCION DE PAZ
No disponible,363951993,CONDICIONES CRONICAS NO TRANSMISIBLES.
No disponible,394422291,SALUD MATERNA Y PERINATAL
No disponible,399963113,CONDICIONES CRONICAS NO TRANSMISIBLES.
No disponible,234560494,CONDICIONES TRANSMISIBLES E INFECCIOSAS.
No disponible,291451000,SALUD AMBIENTAL
No disponible,296251098,SALUD AMBIENTAL
No disponible,264467454,SALUD MATERNA Y PERINATAL
No disponible,399842970,SALUD MATERNA Y PERINATAL
No disponible,399969600,CONDICIONES CRONICAS NO TRANSMISIBLES.
No disponible,399981607,CONDICIONES CRONICAS NO TRANSMISIBLES.
No disponible,282137600,TOXINOLOGIA CLINICA Y NUEVOS MEDICAMENTOS.
No disponible,394186912,SALUD MENTAL Y CONSTRUCCION DE PAZ
No disponible,183883735,DISCAPACIDAD HABILITACION REHABILITACION Y MUERTE POR CAUSAS EXTERNAS
No disponible,398198529,DISCAPACIDAD HABILITACION REHABILITACION Y MUERTE POR CAUSAS EXTERNAS
No disponible,383096859,SALUD AMBIENTAL
No disponible,344376272,SALUD AMBIENTAL
No disponible,299778728,SALUD AMBIENTAL
No disponible,381806683,SALUD AMBIENTAL
No disponible,580986094,SALUD MATERNA Y PERINATAL
No disponible,399687586,SALUD MATERNA Y PERINATAL
No disponible,361693432,CONDICIONES CRONICAS NO TRANSMISIBLES.
No disponible,399640000,CONDICIONES CRONICAS NO TRANSMISIBLES.
No disponible,393494957,CONDICIONES CRONICAS NO TRANSMISIBLES.
No disponible,311321702,CONDICIONES CRONICAS NO TRANSMISIBLES.
No disponible,383724769,CONDICIONES CRONICAS NO TRANSMISIBLES.
No disponible,399971928,CONDICIONES CRONICAS NO TRANSMISIBLES.
No disponible,342907456,CONDICIONES CRONICAS NO TRANSMISIBLES.
No disponible,165315000,CONDICIONES CRONICAS NO TRANSMISIBLES.
No disponible,329063265,CONDICIONES CRONICAS NO TRANSMISIBLES.
No disponible,399428868,CONDICIONES TRANSMISIBLES E INFECCIOSAS.
No disponible,299928768,CONDICIONES TRANSMISIBLES E INFECCIOSAS.
No disponible,287304245,CONDICIONES TRANSMISIBLES E INFECCIOSAS.
No disponible,299357913,CONDICIONES TRANSMISIBLES E INFECCIOSAS.
No disponible,299191707,CONDICIONES TRANSMISIBLES E INFECCIOSAS.
No disponible,399892876,CONDICIONES TRANSMISIBLES E INFECCIOSAS.
No disponible,396756000,CONDICIONES TRANSMISIBLES E INFECCIOSAS.
No disponible,386272060,CONDICIONES TRANSMISIBLES E INFECCIOSAS.
No disponible,297901477,CONDICIONES TRANSMISIBLES E INFECCIOSAS.
No disponible,368537721,CONDICIONES TRANSMISIBLES E INFECCIOSAS.
No disponible,400000000,CONDICIONES TRANSMISIBLES E INFECCIOSAS.
No disponible,278266376,ENFERMEDADES HUERFANAS AUTOINMUNES Y NEURODEGENERATIVAS.
No disponible,299109940,ENFERMEDADES HUERFANAS AUTOINMUNES Y NEURODEGENERATIVAS.
No disponible,399587985,ENFERMEDADES HUERFANAS AUTOINMUNES Y NEURODEGENERATIVAS.
No disponible,293339344,ENFERMEDADES HUERFANAS AUTOINMUNES Y NEURODEGENERATIVAS.
No disponible,395875510,ENFERMEDADES HUERFANAS AUTOINMUNES Y NEURODEGENERATIVAS.
No disponible,399401040,ENFERMEDADES HUERFANAS AUTOINMUNES Y NEURODEGENERATIVAS.
No disponible,397541309,SISTEMAS Y SERVICIOS DE ATENCION EN SALUD.
No disponible,379457555,SISTEMAS Y SERVICIOS DE ATENCION EN SALUD.
No disponible,387202997,SISTEMAS Y SERVICIOS DE ATENCION EN SALUD.
No disponible,415650964,SISTEMAS Y SERVICIOS DE ATENCION EN SALUD.
No disponible,395721007,SISTEMAS Y SERVICIOS DE ATENCION EN SALUD.
No disponible,274312690,TOXINOLOGIA CLINICA Y NUEVOS MEDICAMENTOS.
No disponible,292000000,TOXINOLOGIA CLINICA Y NUEVOS MEDICAMENTOS.
No disponible,396507627,TOXINOLOGIA CLINICA Y NUEVOS MEDICAMENTOS.
No disponible,399952090,TOXINOLOGIA CLINICA Y NUEVOS MEDICAMENTOS.
No disponible,583389072,TOXINOLOGIA CLINICA Y NUEVOS MEDICAMENTOS.
No disponible,399952090,TOXINOLOGIA CLINICA Y NUEVOS MEDICAMENTOS.
No disponible,299771200,TOXINOLOGIA CLINICA Y NUEVOS MEDICAMENTOS.
No disponible,299004175,ENFERMEDADES HUERFANAS AUTOINMUNES Y NEURODEGENERATIVAS.
No disponible,395310623,ENFERMEDADES HUERFANAS AUTOINMUNES Y NEURODEGENERATIVAS.
No disponible,399999391,SALUD MENTAL Y CONSTRUCCION DE PAZ
No disponible,299675097,SALUD MENTAL Y CONSTRUCCION DE PAZ
